公司,據點,年,月,活動類型,數量,單位,資料來源,備註,設備編號,冷媒種類,補充量
示例股份有限公司,本社廠,2024,6,固定燃燒_鍋爐/發電機_柴油,964.67,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,6,固定設備_堆高機_LPG,424.32,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,6,自有車輛_汽油,275.88,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,6,自有車輛_柴油,141.06,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,7,固定燃燒_鍋爐/發電機_柴油,1227.61,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,7,固定設備_堆高機_LPG,587.85,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,7,自有車輛_汽油,353.08,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,7,自有車輛_柴油,102.43,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,8,固定燃燒_鍋爐/發電機_柴油,1075.11,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,8,固定設備_堆高機_LPG,470.26,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,8,自有車輛_汽油,207.61,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,8,自有車輛_柴油,119.82,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,9,固定燃燒_鍋爐/發電機_柴油,1092.76,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,9,固定設備_堆高機_LPG,439.81,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,9,自有車輛_汽油,194.51,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,9,自有車輛_柴油,112.42,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,10,固定燃燒_鍋爐/發電機_柴油,914.17,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,10,固定設備_堆高機_LPG,388.72,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,10,自有車輛_汽油,177.33,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,10,自有車輛_柴油,113.2,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,11,固定燃燒_鍋爐/發電機_柴油,1269.58,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,11,固定設備_堆高機_LPG,568.37,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,11,自有車輛_汽油,248.92,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,11,自有車輛_柴油,130.62,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,12,固定燃燒_鍋爐/發電機_柴油,1299.6,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,12,固定設備_堆高機_LPG,460.32,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,12,自有車輛_汽油,284.63,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,12,自有車輛_柴油,119.61,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,3,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC01,R-134a,1.47
示例股份有限公司,本社廠,2024,6,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC01,R-134a,1.23
示例股份有限公司,本社廠,2024,9,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC01,R-134a,1.32
示例股份有限公司,本社廠,2024,12,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC01,R-134a,1.45
示例股份有限公司,本社廠,2024,3,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC02,R-410A,0.62
示例股份有限公司,本社廠,2024,6,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC02,R-410A,1.07
示例股份有限公司,本社廠,2024,9,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC02,R-410A,1.01
示例股份有限公司,本社廠,2024,12,,,kg,維修/保養單,模擬資料（依台數與年齡估算）,本社廠-AC02,R-410A,0.94
