年,月,供應商,材料名稱,數量,單位,金額,資料來源,備註,項目,據點,用電量(kWh),T&D損失比例(%),上游燃料排放估比(gCO2e/kWh),運輸類型,運具,距離(km),重量(kg),裝載率(%),廢棄物類別,數量(kg),處理方式,交通工具,夜宿(晚),交通方式,通勤人數,每人每日單趟距離(km),每月上班天數
2024,1,華亞材料股份有限公司02,材料-2,554.8,kg,1775.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司02,材料-2,420.6,kg,1346.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司02,材料-2,456.4,kg,1461.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司02,材料-2,454.2,kg,1453.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司02,材料-2,356.5,kg,1141.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司02,材料-2,558.4,kg,1787.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司02,材料-2,443.7,kg,1420.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司02,材料-2,501.5,kg,1605.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司02,材料-2,557.7,kg,1785.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司02,材料-2,553.6,kg,1771.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司02,材料-2,579.8,kg,1856.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司02,材料-2,488.2,kg,1562.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司03,材料-3,449.2,kg,1437.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司03,材料-3,490.4,kg,1569.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司03,材料-3,297.5,kg,952.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司03,材料-3,326.3,kg,1044.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司03,材料-3,341.3,kg,1092.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司03,材料-3,380.3,kg,1217.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司03,材料-3,548.0,kg,1754.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司03,材料-3,391.3,kg,1252.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司03,材料-3,454.6,kg,1455.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司03,材料-3,655.9,kg,2099.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司03,材料-3,457.2,kg,1463.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司03,材料-3,588.5,kg,1883.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司04,材料-4,388.0,kg,1241.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司04,材料-4,475.3,kg,1521.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司04,材料-4,386.0,kg,1235.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司04,材料-4,459.3,kg,1470.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司04,材料-4,600.8,kg,1923.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司04,材料-4,292.7,kg,937.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司04,材料-4,552.1,kg,1767.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司04,材料-4,528.5,kg,1691.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司04,材料-4,428.7,kg,1372.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司04,材料-4,326.5,kg,1045.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司04,材料-4,508.7,kg,1628.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司04,材料-4,436.5,kg,1397.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司05,材料-5,527.9,kg,1689.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司05,材料-5,502.6,kg,1608.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司05,材料-5,692.2,kg,2215.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司05,材料-5,471.3,kg,1508.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司05,材料-5,377.2,kg,1207.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司05,材料-5,521.5,kg,1669.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司05,材料-5,526.4,kg,1684.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司05,材料-5,663.1,kg,2122.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司05,材料-5,600.2,kg,1921.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司05,材料-5,542.8,kg,1737.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司05,材料-5,675.6,kg,2162.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司05,材料-5,357.3,kg,1144.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司06,材料-1,423.2,kg,1354.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司06,材料-1,388.8,kg,1244.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司06,材料-1,453.2,kg,1450.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司06,材料-1,334.8,kg,1071.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司06,材料-1,576.2,kg,1844.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司06,材料-1,473.3,kg,1515.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司06,材料-1,323.5,kg,1035.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司06,材料-1,378.1,kg,1210.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司06,材料-1,537.6,kg,1720.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司06,材料-1,600.6,kg,1922.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司06,材料-1,739.6,kg,2367.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司06,材料-1,849.7,kg,2719.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司07,材料-2,549.7,kg,1759.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司07,材料-2,381.3,kg,1220.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司07,材料-2,244.2,kg,781.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司07,材料-2,532.1,kg,1703.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司07,材料-2,402.4,kg,1288.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司07,材料-2,450.2,kg,1441.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司07,材料-2,426.5,kg,1365.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司07,材料-2,483.1,kg,1546.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司07,材料-2,627.9,kg,2009.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司07,材料-2,518.8,kg,1660.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司07,材料-2,481.0,kg,1539.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司07,材料-2,375.7,kg,1202.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司08,材料-3,299.0,kg,957.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司08,材料-3,441.6,kg,1413.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司08,材料-3,493.5,kg,1579.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司08,材料-3,712.2,kg,2279.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司08,材料-3,515.6,kg,1650.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司08,材料-3,617.9,kg,1977.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司08,材料-3,440.1,kg,1408.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司08,材料-3,357.8,kg,1145.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司08,材料-3,384.2,kg,1229.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司08,材料-3,413.0,kg,1322.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司08,材料-3,755.4,kg,2417.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司08,材料-3,401.4,kg,1285.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司09,材料-4,600.6,kg,1922.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司09,材料-4,391.6,kg,1253.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司09,材料-4,611.8,kg,1958.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司09,材料-4,546.2,kg,1748.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司09,材料-4,481.2,kg,1540.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司09,材料-4,495.1,kg,1584.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司09,材料-4,421.4,kg,1349.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司09,材料-4,553.5,kg,1771.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司09,材料-4,445.4,kg,1425.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司09,材料-4,352.9,kg,1129.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司09,材料-4,346.6,kg,1109.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司09,材料-4,520.7,kg,1666.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司10,材料-5,689.5,kg,2206.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司10,材料-5,519.2,kg,1661.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司10,材料-5,485.8,kg,1554.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司10,材料-5,534.3,kg,1710.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司10,材料-5,656.7,kg,2102.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司10,材料-5,526.3,kg,1684.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司10,材料-5,450.7,kg,1442.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司10,材料-5,632.8,kg,2025.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司10,材料-5,551.5,kg,1765.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司10,材料-5,684.3,kg,2190.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司10,材料-5,522.0,kg,1670.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司10,材料-5,353.1,kg,1130.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司11,材料-1,335.8,kg,1075.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司11,材料-1,698.1,kg,2234.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司11,材料-1,706.8,kg,2262.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司11,材料-1,478.5,kg,1531.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司11,材料-1,454.0,kg,1453.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司11,材料-1,675.4,kg,2161.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司11,材料-1,367.2,kg,1175.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司11,材料-1,392.6,kg,1256.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司11,材料-1,577.2,kg,1847.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司11,材料-1,452.6,kg,1448.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司11,材料-1,499.4,kg,1598.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司11,材料-1,480.4,kg,1537.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司12,材料-2,540.5,kg,1730.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司12,材料-2,668.9,kg,2140.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司12,材料-2,510.9,kg,1635.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司12,材料-2,577.3,kg,1847.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司12,材料-2,254.0,kg,813.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司12,材料-2,494.2,kg,1581.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司12,材料-2,398.8,kg,1276.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司12,材料-2,353.7,kg,1132.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司12,材料-2,394.6,kg,1263.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司12,材料-2,459.9,kg,1472.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司12,材料-2,609.9,kg,1952.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司12,材料-2,340.8,kg,1091.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司13,材料-3,503.7,kg,1612.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司13,材料-3,441.9,kg,1414.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司13,材料-3,460.7,kg,1474.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司13,材料-3,620.3,kg,1985.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司13,材料-3,564.6,kg,1807.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司13,材料-3,660.5,kg,2114.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司13,材料-3,481.5,kg,1541.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司13,材料-3,416.5,kg,1333.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司13,材料-3,473.1,kg,1514.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司13,材料-3,529.1,kg,1693.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司13,材料-3,521.2,kg,1668.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司13,材料-3,369.9,kg,1184.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司14,材料-4,510.9,kg,1635.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司14,材料-4,527.4,kg,1688.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司14,材料-4,802.1,kg,2567.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司14,材料-4,725.2,kg,2321.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司14,材料-4,397.6,kg,1272.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司14,材料-4,465.5,kg,1490.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司14,材料-4,324.4,kg,1038.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司14,材料-4,429.1,kg,1373.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司14,材料-4,537.9,kg,1721.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司14,材料-4,644.7,kg,2063.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司14,材料-4,412.5,kg,1320.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司14,材料-4,421.5,kg,1349.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,1,華亞材料股份有限公司15,材料-5,242.3,kg,775.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司15,材料-5,480.5,kg,1538.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司15,材料-5,372.5,kg,1192.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司15,材料-5,436.5,kg,1397.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司15,材料-5,394.8,kg,1263.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司15,材料-5,488.7,kg,1564.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司15,材料-5,289.1,kg,925.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
